acteur_id,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp
PA795540,Grenon,Daniel,M.,DGR,PO840056,NI,Non inscrit,NI,#8D949A,,1,Yonne,"Ancien artisan, commerçant, chef d'entreprise",https://www.hatvp.fr/pages_nominatives/grenon-daniel-24302
PA795552,Odoul,Julien,M.,JOD,PO845401,RN,Rassemblement National,RN,#313567,,3,Yonne,Collaborateur parlementaire,https://www.hatvp.fr/pages_nominatives/odoul-julien-24148
PA795588,Amrani,Farida,Mme,FAM,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,1,Essonne,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/amrani-farida-24328
PA795596,Vannier,Paul,M.,PVA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,5,Val-d'Oise,Professeur d'histoire-géographie,https://www.hatvp.fr/pages_nominatives/vannier-paul-24268
PA795616,Bilongo,Carlos Martens,M.,CBI,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,8,Val-d'Oise,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/bilongo-carlos-martens-24272
PA795636,Lucas-Lundy,Benjamin,M.,BLU,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,8,Yvelines,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,https://www.hatvp.fr/pages_nominatives/lucas-lundy-benjamin-24256
PA795644,Da Conceicao Carvalho,Nathalie,Mme,NDA,PO845401,RN,Rassemblement National,RN,#313567,,2,Essonne,Profession libérale,https://www.hatvp.fr/pages_nominatives/da-conceicao-carvalho-nathalie-24181
PA795664,Midy,Paul,M.,PMI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Essonne,Chef d'entreprise de 10 salariés ou plus,https://www.hatvp.fr/pages_nominatives/midy-paul-24266
PA795672,Le Gall,Arnaud,M.,AGA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,9,Val-d'Oise,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/le-gall-arnaud-24227
PA795722,Olive,Karl,M.,KOL,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,12,Yvelines,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/olive-karl
PA795730,Marchive,Bastien,M.,BMA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Deux-Sèvres,Juriste,https://www.hatvp.fr/pages_nominatives/marchive-bastien-24246
PA795746,Léaument,Antoine,M.,ALE,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,10,Essonne,Responsable de la communication numérique,https://www.hatvp.fr/pages_nominatives/leaument-antoine-24198
PA795762,Califer,Elie,M.,ECL,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,4,Guadeloupe,Ancien cadre,https://www.hatvp.fr/pages_nominatives/califer-elie-24314
PA795778,Tanguy,Jean-Philippe,M.,JTA,PO845401,RN,Rassemblement National,RN,#313567,,4,Somme,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/tanguy-jean-philippe-24338
PA795786,Ménaché,Yaël,Mme,YME,PO845401,RN,Rassemblement National,RN,#313567,,5,Somme,Commerciale,https://www.hatvp.fr/pages_nominatives/menache-yael-24218
PA795808,Sebaihi,Sabrina,Mme,SSE,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,4,Hauts-de-Seine,Profession libérale,https://www.hatvp.fr/pages_nominatives/sebaihi-sabrina-24197
PA795820,Nadeau,Marcellin,M.,MNA,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,2,Martinique,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/nadeau-marcellin-24215
PA795844,Erodi,Karen,Mme,KER,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,2,Tarn,Profession libérale,https://www.hatvp.fr/pages_nominatives/erodi-karen-24337
PA795864,Cazeneuve,Pierre,M.,PCA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,7,Hauts-de-Seine,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/cazeneuve-pierre-19678
PA795868,Castor,Jean-Victor,M.,JCA,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,1,Guyane,Cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/castor-jean-victor-24289
PA795876,Rimane,Davy,M.,DRI,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,2,Guyane,Technicien,https://www.hatvp.fr/pages_nominatives/rimane-davy-24310
PA795884,Ferracci,Marc,M.,MFA,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,6,Français établis hors de France,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/ferracci-marc
PA795900,Hamelet,Marine,Mme,MHA,PO845401,RN,Rassemblement National,RN,#313567,,2,Tarn-et-Garonne,Profession intermédiaire administrative et commerciale des entreprises,https://www.hatvp.fr/pages_nominatives/hamelet-marine-24151
PA795908,Chenevard,Yannick,M.,YCH,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Var,Profession libérale,https://www.hatvp.fr/pages_nominatives/chenevard-yannick
PA795912,Lavalette,Laure,Mme,LLV,PO845401,RN,Rassemblement National,RN,#313567,,2,Var,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,https://www.hatvp.fr/pages_nominatives/lavalette-laure-24134
PA795920,Thevenot,Prisca,Mme,PTH,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,8,Hauts-de-Seine,Collaboratrice parlementaire,https://www.hatvp.fr/pages_nominatives/thevenot-prisca-24191
PA795954,Ibled,Catherine,Mme,CIB,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,13,Paris,Directrice adjointe de la communication,https://www.hatvp.fr/pages_nominatives/ibled-catherine-29925
PA795962,Missoffe,Joséphine,Mme,JMI,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,14,Paris,Infirmière-Puéricultrice,https://www.hatvp.fr/pages_nominatives/missoffe-josephine-28150
PA795966,Rambaud,Stéphane,M.,SRA,PO845401,RN,Rassemblement National,RN,#313567,,3,Var,Retraité de la police nationale,https://www.hatvp.fr/pages_nominatives/rambaud-stephane-24208
PA795974,Lottiaux,Philippe,M.,PLO,PO845401,RN,Rassemblement National,RN,#313567,,4,Var,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/lottiaux-philippe-15882
PA795982,Saintoul,Aurélien,M.,ASI,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,11,Hauts-de-Seine,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/saintoul-aurelien-24238
PA795998,K/Bidi,Émeline,Mme,EKB,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,4,Réunion,Avocate,https://www.hatvp.fr/pages_nominatives/k-bidi-emeline-24323
PA796010,Maillot,Frédéric,M.,FML,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,6,Réunion,Intervenant social,https://www.hatvp.fr/pages_nominatives/maillot-frederic-22320
PA796018,Simonnet,Danielle,Mme,DSI,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,15,Paris,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/simonnet-danielle-24313
PA796026,Lechanteux,Julie,Mme,JLT,PO845401,RN,Rassemblement National,RN,#313567,,5,Var,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,https://www.hatvp.fr/pages_nominatives/lechanteux-julie-15939
PA796034,Giletti,Frank,M.,FGI,PO845401,RN,Rassemblement National,RN,#313567,,6,Var,Fonctionnaire,https://www.hatvp.fr/pages_nominatives/giletti-frank-24205
PA796042,Boccaletti,Frédéric,M.,FBO,PO845401,RN,Rassemblement National,RN,#313567,,7,Var,(85) - Personne diverse sans activité professionnelle de moins de 60 ans,https://www.hatvp.fr/pages_nominatives/boccaletti-frederic-24220
PA796050,Schreck,Philippe,M.,PSC,PO845401,RN,Rassemblement National,RN,#313567,,8,Var,Profession libérale,https://www.hatvp.fr/pages_nominatives/schreck-philippe-24293
PA796062,Portes,Thomas,M.,TPO,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,3,Seine-Saint-Denis,Cheminot,https://www.hatvp.fr/pages_nominatives/portes-thomas-24240
PA796070,Gaillard,Perceval,M.,PGA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,7,Réunion,Profession intermédiaire de la santé et du travail social,https://www.hatvp.fr/pages_nominatives/gaillard-perceval-19040
PA796078,Youssouffa,Estelle,Mme,EYO,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,1,Mayotte,Consultante,https://www.hatvp.fr/pages_nominatives/youssouffa-estelle-24327
PA796090,Caron,Aymeric,M.,ACA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,18,Paris,"Profession de l'information, des arts et des spectacles",https://www.hatvp.fr/pages_nominatives/caron-aymeric-24243
PA796106,Bénard,Édouard,M.,EBE,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,3,Seine-Maritime,Collaborateur d'élu,https://www.hatvp.fr/pages_nominatives/benard-edouard-26541
PA796118,Auzanot,Bénédicte,Mme,BAU,PO845401,RN,Rassemblement National,RN,#313567,,2,Vaucluse,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,https://www.hatvp.fr/pages_nominatives/auzanot-benedicte-24225
PA805166,Bergantz,Anne,Mme,ABERG,PO845454,DEM,Les Démocrates,Dem,#F07E26,,2,Yvelines,responsable de service social,https://www.hatvp.fr/pages_nominatives/bergantz-anne-24898
PA817203,Miller,Laure,Mme,LMIL,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Marne,Avocate,https://www.hatvp.fr/pages_nominatives/miller-laure
PA817211,Pilato,René,M.,RPIL,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,1,Charente,Enseignant,https://www.hatvp.fr/pages_nominatives/pilato-rene-25157
PA822617,Froger,Martine,Mme,FRG,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Ariège,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/froger-martine-25400
PA826635,Rousseau,Aurélien,M.,AUR,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,7,Yvelines,Maître des requêtes au Conseil d'État,https://www.hatvp.fr/pages_nominatives/rousseau-aurelien-8069
PA840067,Tomatis,Gabriel,M.,GTO,PO845401,RN,Rassemblement National,RN,#313567,,4,Alpes-Maritimes,Sans profession déclarée,https://www.hatvp.fr/pages_nominatives/tomatis-gabriel-30409
PA840075,Casterman,Eddy,M.,ECS,PO845401,RN,Rassemblement National,RN,#313567,,3,Aisne,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/casterman-eddy-27338
PA840107,Chaumeil,Bernard,M.,BCHA,PO845401,RN,Rassemblement National,RN,#313567,,7,Hérault,Directeur des relations institutionnelles,https://www.hatvp.fr/pages_nominatives/chaumeil-bernard-30434
PA840119,Delannoy,Sandra,Mme,SDA,PO840056,NI,Non inscrit,NI,#8D949A,,3,Nord,(21) - Artisan,https://www.hatvp.fr/pages_nominatives/delannoy-sandra-27339
PA840135,Dufosset,Alexandre,M.,ADF,PO845401,RN,Rassemblement National,RN,#313567,,18,Nord,(54) - Employé administratif d'entreprise,https://www.hatvp.fr/pages_nominatives/dufosset-alexandre-27341
PA840143,Florquin,Guillaume,M.,GFL,PO845401,RN,Rassemblement National,RN,#313567,,20,Nord,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/florquin-guillaume-27342
PA840159,Clavet,Bruno,M.,BCL,PO845401,RN,Rassemblement National,RN,#313567,,3,Pas-de-Calais,(45) - Profession intermédiaire administrative de la fonction publique,https://www.hatvp.fr/pages_nominatives/clavet-bruno-27340
PA840175,Bregman,Dorine,Mme,DBRE,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,7,Paris,Consultante en participation citoyenne,https://www.hatvp.fr/pages_nominatives/bregman-dorine-30322
PA840235,Frébault,Moerani,M.,MFB,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Polynésie Française,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/frebault-moerani-27343
PA840657,Ricourt Vaginay,Sophie,Mme,SVA,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,2,Alpes-de-Haute-Provence,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/ricourt-vaginay-sophie
PA840665,Allemand,Marie-José,Mme,MAL,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Hautes-Alpes,(12) - Agriculteur sur moyenne exploitation,https://www.hatvp.fr/pages_nominatives/allemand-marie-jose-27432
PA840673,Rossi,Valérie,Mme,VRS,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Hautes-Alpes,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/rossi-valerie-22877
PA840685,Trébuchet,Vincent,M.,VTR,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,2,Ardèche,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/trebuchet-vincent-27507
PA840701,Chaix,Bernard,M.,BCH,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,3,Alpes-Maritimes,(22) - Commerçant et assimilé,https://www.hatvp.fr/pages_nominatives/chaix-bernard-22632
PA840721,Chavent,Marc,M.,MCH,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,5,Ain,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/chavent-marc-27459
PA840745,Jordan,Édouard,M.,EJO,PO845401,RN,Rassemblement National,RN,#313567,,1,Aude,Inspecteur des finances publiques,https://www.hatvp.fr/pages_nominatives/jordan-edouard-30408
PA840757,Griseti,Monique,Mme,MGR,PO845401,RN,Rassemblement National,RN,#313567,,1,Bouches-du-Rhône,(22) - Commerçant et assimilé,https://www.hatvp.fr/pages_nominatives/griseti-monique-27430
PA840765,Lhardit,Laurent,M.,LLH,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Bouches-du-Rhône,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/lhardit-laurent-19668
PA840773,Fayssat,Olivier,M.,OFY,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,6,Bouches-du-Rhône,Dirigeant d'entreprise,https://www.hatvp.fr/pages_nominatives/fayssat-olivier-27418
PA840781,Tonussi,Romain,M.,RTO,PO845401,RN,Rassemblement National,RN,#313567,,8,Bouches-du-Rhône,(45) - Profession intermédiaire administrative de la fonction publique,https://www.hatvp.fr/pages_nominatives/tonussi-romain-27506
PA840793,Pena,Marc,M.,MPE,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,11,Bouches-du-Rhône,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/pena-marc-27483
PA840801,Fouquart,Emmanuel,M.,EFO,PO845401,RN,Rassemblement National,RN,#313567,,13,Bouches-du-Rhône,Retraité militaire,https://www.hatvp.fr/pages_nominatives/fouquart-emmanuel-27421
PA840809,Verny,Gérault,M.,GVE,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,14,Bouches-du-Rhône,(23) - Chef d'entreprise de 10 salariés ou plus,https://www.hatvp.fr/pages_nominatives/verny-gerault-27511
PA840817,Bruneau,Joël,M.,JBR,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,1,Calvados,(31) - Profession libérale,https://www.hatvp.fr/pages_nominatives/bruneau-joel
PA840829,Barusseau,Fabrice,M.,FBA,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,3,Charente-Maritime,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/barusseau-fabrice-27458
PA840837,Markowsky,Pascal,M.,PMA,PO845401,RN,Rassemblement National,RN,#313567,,4,Charente-Maritime,"(72) - Ancien artisan, commerçant, chef d'entreprise",https://www.hatvp.fr/pages_nominatives/markowsky-pascal-27495
PA840857,Lechon,Nadine,Mme,NLE,PO845401,RN,Rassemblement National,RN,#313567,,1,Dordogne,(12) - Agriculteur sur moyenne exploitation,https://www.hatvp.fr/pages_nominatives/lechon-nadine-27468
PA840869,Joubert,Florence,Mme,FJU,PO845401,RN,Rassemblement National,RN,#313567,,3,Dordogne,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/joubert-florence-27443
PA840889,Bloch,Matthieu,M.,MBC,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,3,Doubs,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/bloch-matthieu-27514
PA840903,Christophle,Paul,M.,PCH,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Drôme,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/christophle-paul-1658
PA840915,Monnier,Thibaut,M.,TMO,PO845401,RN,Rassemblement National,RN,#313567,,4,Drôme,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/monnier-thibaut-27508
PA840939,Godard,Océane,Mme,OGO,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Côte-d'Or,Psychologue du travail,https://www.hatvp.fr/pages_nominatives/godard-oceane
PA840947,Hervieu,Catherine,Mme,CHE,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,2,Côte-d'Or,Psychologue scolaire,https://www.hatvp.fr/pages_nominatives/hervieu-catherine
PA840955,Pribetich,Pierre,M.,PPR,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,3,Côte-d'Or,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/pribetich-pierre
PA840967,Lioret,René,M.,RLI,PO845401,RN,Rassemblement National,RN,#313567,,5,Côte-d'Or,(74) - Ancien cadre,https://www.hatvp.fr/pages_nominatives/lioret-rene-27486
PA840979,Le Fur,Corentin,M.,CFU,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Côtes-d'Armor,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/le-fur-corentin-27464
PA840983,Lenoir,Bartolomé,M.,BLE,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,1,Creuse,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/lenoir-bartolome-27481
PA840997,Biteau,Benoît,M.,BBT,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,2,Charente-Maritime,(12) - Agriculteur sur moyenne exploitation,https://www.hatvp.fr/pages_nominatives/biteau-benoit-9623
PA841017,Huwart,Harold,M.,HHU,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Eure-et-Loir,Administrateur de l'État,https://www.hatvp.fr/pages_nominatives/huwart-harold
PA841023,Cadalen,Pierre-Yves,M.,PCL,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,2,Finistère,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/cadalen-pierre-yves-27448
PA841047,Ceccoli,François-Xavier,M.,FCE,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Haute-Corse,(23) - Chef d'entreprise de 10 salariés ou plus,https://www.hatvp.fr/pages_nominatives/ceccoli-francois-xavier-27454
PA841059,Dellong Meng,Catherine,Mme,CDEL,PO845401,RN,Rassemblement National,RN,#313567,,3,Gard,Cadre territoriale de la fonction publique retraitée,https://www.hatvp.fr/pages_nominatives/dellong-meng-catherine-30332
PA841067,Allegret-Pilot,Alexandre,M.,AAL,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,5,Gard,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/allegret-pilot-alexandre-27429
PA841075,Josserand,Sylvie,Mme,SJS,PO845401,RN,Rassemblement National,RN,#313567,,6,Gard,(31) - Profession libérale,https://www.hatvp.fr/pages_nominatives/josserand-sylvie-27442
PA841091,Simion,Arnaud,M.,ASM,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,6,Haute-Garonne,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/simion-arnaud-8003
PA841107,Oberti,Jacques,M.,JOB,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,10,Haute-Garonne,(38) - Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/oberti-jacques
PA841131,Bouquin,Manon,Mme,MBU,PO845401,RN,Rassemblement National,RN,#313567,,4,Hérault,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/bouquin-manon-27517
PA841139,Gabarron,Julien,M.,JGA,PO845401,RN,Rassemblement National,RN,#313567,,6,Hérault,Cadre Commercial,https://www.hatvp.fr/pages_nominatives/gabarron-julien-27424
PA841151,Fruchon,Alix,Mme,AFRU,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Indre,Juriste,https://www.hatvp.fr/pages_nominatives/fruchon-alix-29923
PA841183,Mansouri,Hanane,Mme,HMA,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,8,Isère,"(84) - Elève, étudiant",https://www.hatvp.fr/pages_nominatives/mansouri-hanane-27498
PA841191,Nosbé,Sandrine,Mme,SNO,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,9,Isère,(54) - Employé administratif d'entreprise,https://www.hatvp.fr/pages_nominatives/nosbe-sandrine-27509
PA841199,Perez,Thierry,M.,TPE,PO845401,RN,Rassemblement National,RN,#313567,,10,Isère,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/perez-thierry-27484
PA841207,Alloncle,Charles,M.,CAL,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,9,Hérault,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/alloncle-charles-27438
PA841215,Mesmeur,Marie,Mme,MME,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,1,Ille-et-Vilaine,Educatrice spécialisée,https://www.hatvp.fr/pages_nominatives/mesmeur-marie-27489
PA841223,Lahais,Tristan,M.,TLA,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,2,Ille-et-Vilaine,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/lahais-tristan
PA841243,Saint-Pasteur,Sébastien,M.,SSA,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,7,Gironde,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/saint-pasteur-sebastien-21765
PA841251,Feld,Mathilde,Mme,MFD,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,12,Gironde,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/feld-mathilde-27420
PA841295,Courbon,Pierrick,M.,PCU,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Loire,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/courbon-pierrick-27487
PA841315,Benbrahim,Karim,M.,KBN,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Loire-Atlantique,(38) - Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/benbrahim-karim-27472
PA841327,Roussel,Fabrice,M.,FRO,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,5,Loire-Atlantique,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/roussel-fabrice-16764
PA841339,Brard,Jean-Michel,M.,JBD,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,9,Loire-Atlantique,(22) - Commerçant et assimilé,https://www.hatvp.fr/pages_nominatives/brard-jean-michel
PA841351,Duplessy,Emmanuel,M.,EDU,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,2,Loiret,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/duplessy-emmanuel-27499
PA841359,de Pélichy,Constance,Mme,CPE,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Loiret,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/de-pelichy-constance-12077
PA841367,Proença,Christophe,M.,CPR,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Lot,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/proenca-christophe-20503
PA841377,Rey-Rinchet,Emeline,Mme,ERE,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Lot-et-Garonne,Ostéopathe,https://www.hatvp.fr/pages_nominatives/rey-rinchet-emeline-30410
PA841381,Pantel,Sophie,Mme,SPN,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Lozère,Cadre de la fonction publique d'État,https://www.hatvp.fr/pages_nominatives/pantel-sophie
PA841395,Michelet,Maxime,M.,MMI,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,3,Marne,Historien,https://www.hatvp.fr/pages_nominatives/michelet-maxime-27504
PA841419,Girard,Damien,M.,DGI,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,5,Morbihan,(38) - Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/girard-damien-27427
PA841431,Colin-Oesterlé,Nathalie,Mme,NCO,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,3,Moselle,(31) - Profession libérale,https://www.hatvp.fr/pages_nominatives/colin-oesterle-nathalie
PA841439,Jenft,Pascal,M.,PJE,PO845401,RN,Rassemblement National,RN,#313567,,5,Moselle,(21) - Artisan,https://www.hatvp.fr/pages_nominatives/jenft-pascal-27440
PA841451,Guibert,Julien,M.,JGU,PO845401,RN,Rassemblement National,RN,#313567,,2,Nièvre,(46) - Profession intermédiaire administrative et commerciale des entreprises,https://www.hatvp.fr/pages_nominatives/guibert-julien-27431
PA841463,Mercier,Estelle,Mme,EME,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Meurthe-et-Moselle,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/mercier-estelle-19015
PA841471,Hablot,Stéphane,M.,SHA,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Meurthe-et-Moselle,Education nationale,https://www.hatvp.fr/pages_nominatives/hablot-stephane
PA841479,Weber,Frédéric,M.,FWE,PO845401,RN,Rassemblement National,RN,#313567,,3,Meurthe-et-Moselle,(43) - Profession intermédiaire de la santé et du travail social,https://www.hatvp.fr/pages_nominatives/weber-frederic-27513
PA841487,Boulogne,Anthony,M.,ABU,PO845401,RN,Rassemblement National,RN,#313567,,6,Meurthe-et-Moselle,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/boulogne-anthony-27516
PA841495,Amblard,Maxime,M.,MAM,PO845401,RN,Rassemblement National,RN,#313567,,1,Meuse,(38) - Ingénieur et cadre technique d'entreprise,https://www.hatvp.fr/pages_nominatives/amblard-maxime-27439
